Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2017010009770,2,1,1,2,66,10,3,0,0,0,0,0,9,1,6
2017010009770,2,2,2,2,67,10,3,0,0,2,0,0,9,1,9
2017010009773,1,1,1,1,25,5,3,0,0,0,0,0,4,1,5
2017010009774,1,1,3,1,23,5,3,5,1,0,0,2,0,1,9
2017010009775,1,1,1,1,33,6,3,0,0,0,0,0,5,1,2
2017010009775,2,2,1,2,59,9,2,0,0,0,0,0,1,1,4
2017010009777,1,1,3,2,52,8,2,1,9,0,0,2,0,1,3
2017010009778,1,1,2,2,54,8,3,0,0,1,0,0,9,1,10
2017010009779,1,1,1,2,42,7,3,0,0,0,0,0,9,1,10
2017010009779,1,2,2,2,4,1,3,0,0,2,0,0,9,1,10
2017010009781,1,1,3,1,31,6,2,5,3,0,0,2,0,1,2
2017010009782,1,1,1,1,69,10,3,0,0,0,0,0,19,1,7
2017010009782,2,2,1,1,29,6,3,0,0,0,0,0,9,1,2
2017010009782,2,3,2,1,23,5,3,0,0,1,0,0,9,3,9
2017010009784,1,1,1,1,19,4,3,0,0,0,0,0,9,1,10
2017010009785,2,1,1,1,24,5,3,0,0,0,0,0,1,1,2
2017010009786,1,1,1,1,18,4,3,0,0,0,0,0,9,1,3
2017010009786,1,2,2,2,16,4,3,0,0,1,0,0,9,1,8
2017010009787,1,1,1,1,46,8,3,0,0,0,0,0,9,1,6
2017010009787,1,2,2,1,11,3,3,0,0,2,0,0,9,1,6
2017010009789,2,1,1,1,45,7,3,0,0,0,0,0,3,1,3
2017010009792,2,1,1,2,49,8,3,0,0,0,0,0,9,1,9
2017010009793,1,1,3,1,32,6,3,4,3,0,0,2,0,1,5
2017010009795,1,1,3,1,27,6,2,5,1,0,0,2,0,1,7
2017010009796,1,1,3,1,17,4,3,5,1,0,0,2,0,1,4
2017010009799,2,1,1,1,17,4,3,0,0,0,0,0,1,1,3
2017010009801,1,1,2,2,22,5,3,0,0,2,0,0,9,1,4
2017010009802,1,1,1,1,23,5,3,0,0,0,0,0,9,1,4
2017010009802,1,2,2,1,33,6,3,0,0,2,0,0,9,1,4
2017010009802,1,3,2,1,23,5,3,0,0,1,0,0,9,1,3
2017010009804,1,1,1,1,39,7,3,0,0,0,0,0,8,1,3
2017010009805,1,1,1,1,39,7,3,0,0,0,0,0,3,1,7
2017010009813,1,1,1,1,36,7,3,0,0,0,0,0,11,1,2
2017010009813,2,2,2,1,50,8,3,0,0,0,4,0,11,1,3
2017010009816,1,1,1,1,65,9,3,0,0,0,0,0,9,1,2
2017010009816,2,2,1,1,47,8,3,0,0,0,0,0,9,1,1
2017010009822,1,1,3,1,39,7,3,10,9,0,0,2,0,1,6
2017010009828,1,1,1,1,51,8,3,0,0,0,0,0,8,1,6
2017010009828,2,2,2,1,11,3,3,0,0,1,0,0,8,1,7
2017010009828,2,3,2,2,10,2,3,0,0,1,0,0,8,1,7
2017010009830,1,1,1,2,20,4,3,0,0,0,0,0,9,1,1
2017010009830,1,2,2,1,61,9,3,0,0,1,0,0,9,1,1
2017010009832,1,1,3,2,26,6,3,1,1,0,0,2,0,1,1
2017010009838,1,1,2,2,72,10,3,0,0,0,0,0,10,1,7
2017010009839,1,1,3,2,14,3,3,4,3,0,0,2,0,1,1
2017010009840,1,1,1,1,40,7,3,0,0,0,0,0,3,1,1
2017010009843,1,1,1,2,47,8,3,0,0,0,0,0,1,1,1
2017010009856,1,1,1,1,33,6,3,0,0,0,0,0,5,1,3
2017010009873,1,1,1,2,26,6,3,0,0,0,0,0,9,1,6
2017010009881,1,1,1,1,26,6,3,0,0,0,0,0,9,1,3
2017010009901,1,1,1,1,50,8,3,0,0,0,0,0,9,1,4
2017010009901,2,2,1,2,38,7,3,0,0,0,0,0,9,1,5
2017010009901,2,3,2,2,12,3,3,0,0,2,0,0,9,1,5
2017010009902,1,1,2,1,61,9,2,0,0,0,0,0,21,1,4
2017010009903,2,1,1,2,29,6,3,0,0,0,0,0,1,1,3
2017010009904,1,1,2,2,76,11,3,0,0,0,4,0,11,1,10
2017010009906,2,1,1,1,35,6,3,0,0,0,0,0,9,1,9
2017010009906,2,2,2,2,27,6,3,0,0,1,0,0,9,1,5
2017010009909,1,1,3,2,37,7,3,1,1,0,0,2,0,1,5
2017010009911,1,1,1,1,18,4,3,0,0,0,0,0,3,1,4
2017010009915,2,1,1,1,65,9,3,0,0,0,0,0,9,1,9
2017010009917,1,1,1,1,57,9,3,0,0,0,0,0,9,1,6
2017010009922,1,1,1,1,24,5,3,0,0,0,0,0,2,1,4
2017010009924,1,1,1,1,21,5,3,0,0,0,0,0,1,1,2
2017010009925,1,1,1,2,45,7,3,0,0,0,0,0,9,1,4
2017010009925,2,2,2,2,24,5,3,0,0,0,0,0,20,1,3
2017010009927,1,1,3,1,51,8,3,9,9,0,0,2,0,-1,-1
2017010009934,1,1,3,2,31,6,3,5,1,0,0,2,0,1,2
2017010009936,1,1,2,2,44,7,3,0,0,0,4,0,11,1,3
2017010009938,1,1,1,1,31,6,3,0,0,0,0,0,9,-1,-1
2017010009938,2,2,1,1,74,10,3,0,0,0,0,0,9,1,7
2017010009938,2,3,2,2,69,10,3,0,0,1,0,0,9,1,7
2017010009941,1,1,3,1,67,10,3,6,9,0,0,2,0,1,9
2017010009944,2,1,1,1,25,5,3,0,0,0,0,0,3,1,9
2017010009950,1,1,3,1,36,7,3,4,1,0,0,2,0,-1,-1
2017010009963,1,1,2,2,52,8,3,0,0,1,0,0,9,1,2
2017010009967,1,1,2,2,42,7,3,0,0,1,0,0,9,1,2
2017010009968,1,1,1,1,44,7,3,0,0,0,0,0,1,1,5
2017010009976,1,1,3,2,3,1,3,8,1,0,0,2,0,1,2
2017010009978,1,1,3,1,74,10,3,1,3,0,0,2,0,1,5
2017010009989,1,1,2,1,3,1,3,0,0,2,0,0,9,1,3
2017010009989,1,2,2,2,54,8,3,0,0,1,0,0,9,1,3
2017010009990,1,1,3,2,24,5,3,6,9,0,0,2,0,-1,-1
2017010009992,1,1,2,1,56,9,3,0,0,1,0,0,9,1,9
2017010009995,1,1,1,1,56,9,3,0,0,0,0,0,9,1,7
2017010009997,2,1,1,2,22,5,3,0,0,0,0,0,4,1,10
2017010010001,1,1,1,1,53,8,3,0,0,0,0,0,3,1,3
2017010010003,1,1,1,2,26,6,3,0,0,0,0,0,9,1,6
2017010010004,2,1,1,2,23,5,3,0,0,0,0,0,9,1,10
2017010010006,1,1,1,1,44,7,3,0,0,0,0,0,9,1,7
2017010010007,1,1,1,1,46,8,3,0,0,0,0,0,5,1,3
2017010010008,1,1,1,1,33,6,3,0,0,0,0,0,4,1,2
2017010010009,2,1,2,2,24,5,3,0,0,1,0,0,9,1,2
2017010010011,1,1,1,1,26,6,2,0,0,0,0,0,4,1,9
2017010010012,1,1,1,2,30,6,3,0,0,0,0,0,9,-1,-1
2017010010012,1,2,2,1,2,1,3,0,0,2,0,0,9,1,2
2017010010013,1,1,2,2,54,8,3,0,0,0,3,0,11,-1,-1
2017010010014,1,1,2,2,11,3,3,0,0,1,0,0,9,1,2
2017010010015,2,1,1,1,36,7,3,0,0,0,0,0,2,1,6
2017010010016,2,1,1,1,35,6,3,0,0,0,0,0,3,1,3
2017010010017,1,1,1,1,20,4,3,0,0,0,0,0,1,1,5
2017010010018,1,1,1,1,21,5,2,0,0,0,0,0,3,1,6
2017010010019,2,1,1,1,27,6,2,0,0,0,0,0,5,1,8
2017010010020,1,1,3,1,15,3,3,6,9,0,0,2,0,1,1
2017010010021,1,1,2,2,14,3,3,0,0,2,0,0,9,1,4
2017010010021,1,2,2,2,18,4,3,0,0,1,0,0,9,1,4
2017010010022,1,1,2,2,90,11,3,0,0,1,0,0,9,1,8
2017010010023,1,1,1,1,27,6,3,0,0,0,0,0,4,1,7
2017010010024,1,1,1,1,26,6,3,0,0,0,0,0,9,1,3
2017010010027,1,1,3,1,57,9,3,8,3,0,0,2,0,1,1
2017010010028,2,1,1,1,38,7,3,0,0,0,0,0,3,1,7
2017010010029,1,1,1,1,51,8,2,0,0,0,0,0,9,1,4
2017010010029,4,2,1,1,36,7,3,0,0,0,0,0,9,1,4
2017010010031,2,1,1,1,55,8,3,0,0,0,0,0,4,1,5
2017010010032,1,1,1,2,42,7,3,0,0,0,0,0,9,1,2
2017010010032,1,2,2,2,43,7,3,0,0,1,0,0,9,1,2
2017010010032,2,3,1,1,32,6,3,0,0,0,0,0,9,1,1
2017010010033,1,1,1,2,26,6,3,0,0,0,0,0,9,1,2
2017010010034,2,1,1,1,30,6,3,0,0,0,0,0,9,1,6
2017010010035,1,1,1,1,40,7,3,0,0,0,0,0,9,1,7
2017010010036,1,1,1,1,22,5,3,0,0,0,0,0,9,1,2
2017010010037,1,1,1,2,31,6,3,0,0,0,0,0,9,1,3
2017010010037,2,2,1,1,53,8,3,0,0,0,0,0,19,1,3
2017010010037,3,3,1,2,56,9,3,0,0,0,0,0,9,1,4
2017010010038,2,1,1,1,49,8,2,0,0,0,0,0,9,1,3
2017010010043,1,1,1,1,77,11,3,0,0,0,0,0,9,1,7
2017010010044,1,1,3,1,71,10,3,5,1,0,0,2,0,1,3
