Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
201401BS70263,1,1,1,1,21,5,3,0,0,0,0,0,9,1
201401BS70264,1,1,1,2,24,5,2,0,0,0,0,0,1,1
201401BS70266,1,1,1,1,47,8,3,0,0,0,0,0,5,1
201401BS70267,2,1,1,1,27,6,3,0,0,0,0,0,1,1
201401BS70268,2,1,1,2,42,7,3,0,0,0,0,0,9,1
201401BS70269,1,1,1,1,28,6,3,0,0,0,0,0,3,1
201401BS70272,2,1,1,1,29,6,3,0,0,0,0,0,1,1
201401BS70273,1,1,1,2,43,7,3,0,0,0,0,0,9,1
201401BS70274,1,1,3,2,29,6,3,1,1,0,0,2,0,1
201401BS70275,1,1,3,2,32,6,3,1,1,0,0,2,0,1
201401BS70276,1,1,1,1,43,7,3,0,0,0,0,0,1,1
201401BS70277,1,1,3,1,31,6,3,1,3,0,0,2,0,1
201401BS70278,1,1,3,2,27,6,3,1,1,0,0,2,0,1
201401BS70279,2,1,1,1,-1,-1,3,0,0,0,0,0,2,-1
201401BS70280,1,1,1,1,23,5,3,0,0,0,0,0,9,1
201401BS70280,1,2,2,1,24,5,3,0,0,1,0,0,9,1
201401BS70280,2,3,1,2,64,9,3,0,0,0,0,0,9,1
201401BS70281,1,1,1,1,38,7,2,0,0,0,0,0,3,1
201401BS70282,2,1,1,1,35,6,3,0,0,0,0,0,5,1
201401BS70283,1,1,3,1,6,2,3,6,9,0,0,2,0,1
201401BS70284,1,1,3,2,44,7,3,1,1,0,0,2,0,1
201401BS70285,1,1,3,2,14,3,3,5,1,0,0,2,0,1
201401BS70286,2,1,1,2,34,6,3,0,0,0,0,0,9,1
201401BS70287,1,1,1,2,31,6,3,0,0,0,0,0,1,1
201401BS70288,1,1,1,1,35,6,3,0,0,0,0,0,1,1
201401BS70290,1,1,1,1,40,7,3,0,0,0,0,0,9,1
201401BS70291,1,1,1,1,30,6,2,0,0,0,0,0,1,1
201401BS70291,2,2,3,2,37,7,3,10,9,0,0,2,0,1
201401BS70292,1,1,1,1,41,7,3,0,0,0,0,0,8,1
201401BS70292,1,2,2,2,50,8,3,0,0,2,0,0,8,1
201401BS70293,1,1,1,1,30,6,3,0,0,0,0,0,5,1
201401BS70293,2,2,1,1,50,8,3,0,0,0,0,0,9,1
201401BS70294,1,1,1,1,33,6,3,0,0,0,0,0,1,1
201401BS70295,1,1,3,1,65,9,3,4,3,0,0,2,0,1
201401BS70296,1,1,1,1,31,6,3,0,0,0,0,0,3,1
201401BS70297,2,1,1,1,20,4,3,0,0,0,0,0,1,-1
201401BS70298,1,1,1,1,35,6,3,0,0,0,0,0,3,1
201401BS70299,1,1,1,1,24,5,3,0,0,0,0,0,1,1
201401BS70303,1,1,1,1,35,6,3,0,0,0,0,0,9,1
201401BS70304,1,1,1,1,47,8,3,0,0,0,0,0,5,1
201401BS70305,1,1,1,1,45,7,3,0,0,0,0,0,3,1
201401BS70306,1,1,1,1,-1,-1,3,0,0,0,0,0,19,1
201401BS70307,1,1,1,1,25,5,3,0,0,0,0,0,9,1
201401BS70308,1,1,3,2,28,6,3,5,1,0,0,2,0,1
201401BS70309,2,1,1,1,34,6,3,0,0,0,0,0,1,1
201401BS70310,1,1,1,1,27,6,3,0,0,0,0,0,5,1
201401BS70311,1,1,3,2,30,6,2,5,1,0,0,2,0,1
201401BS70312,1,1,1,1,23,5,3,0,0,0,0,0,1,1
201401BS70313,1,1,1,2,30,6,3,0,0,0,0,0,1,1
201401BS70316,2,1,1,1,29,6,3,0,0,0,0,0,1,1
