Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
201734WD10017,1,9,0,15,0,0,0,0,1,7,1,1,6,3,-1,-1,1598,1,16,-1,-1,-1
201734WD10017,2,9,0,17,0,0,0,0,0,0,4,1,2,1,38,7,1360,1,6,7,1,7
201734WD10297,1,11,0,18,0,8,0,0,0,0,1,1,6,1,-1,-1,3900,2,11,-1,-1,-1
201734WD10297,2,22,0,18,0,7,0,0,0,0,3,1,6,2,70,10,-1,-1,-1,7,1,7
201734WD10307,1,19,0,17,0,0,2,0,1,0,1,1,2,1,45,7,1560,2,7,6,2,6
201734WD10307,2,9,0,16,0,0,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
201734WD10347,1,9,0,18,0,0,0,0,0,0,1,1,2,2,46,8,1995,2,13,5,1,5
201734WD10347,2,9,0,18,0,0,0,0,0,0,1,1,6,2,35,6,1999,1,8,7,2,7
201734WD10437,1,9,0,18,0,0,0,0,0,0,2,1,6,1,42,7,1995,2,6,5,1,5
201734WD10437,2,9,0,18,0,0,0,0,0,0,1,1,6,1,22,5,1753,2,10,3,1,3
201734WD10437,3,9,0,18,0,0,0,0,0,0,1,1,6,1,75,10,1997,2,1,-1,-1,-1
201734WD10437,4,9,0,18,0,0,0,0,0,0,1,1,1,2,46,8,1997,1,1,4,1,4
201734WD10437,5,9,0,18,0,0,0,0,0,0,1,1,6,1,36,7,1997,2,1,7,1,7
201734WD10437,6,19,0,18,0,0,0,0,0,0,1,1,6,1,25,5,1560,2,1,-1,1,-1
201734WD10437,7,9,0,18,0,0,0,0,0,0,1,1,6,1,41,7,-1,-1,-1,8,3,8
201734WD10437,8,19,0,17,0,0,0,0,0,0,1,1,6,1,34,6,2402,2,9,-1,-1,-1
201734WD10567,1,9,0,18,0,0,1,0,7,4,1,1,6,1,30,6,1587,1,14,5,2,5
201734WD10647,1,9,0,9,0,8,0,0,0,0,1,1,6,1,16,4,1900,2,18,2,1,2
201734WD10647,2,11,0,18,0,8,0,0,0,0,1,1,1,1,42,7,9000,2,5,8,1,8
201734WD10657,1,5,0,13,0,0,2,0,0,0,1,1,6,1,29,6,599,1,18,3,1,3
201734WD10657,2,9,0,18,0,0,0,0,0,0,1,1,6,1,72,10,1560,2,7,6,1,6
201734WD10707,1,9,0,17,0,0,0,0,1,9,1,1,6,1,30,6,1991,1,-1,-1,-1,-1
201734WD10717,1,21,1,11,0,0,0,0,0,0,4,1,1,1,43,7,-1,-1,-1,-1,-1,-1
201734WD10717,2,9,0,18,0,0,5,0,2,0,0,1,2,2,47,8,-1,-1,-1,-1,-1,-1
201734WD11117,1,9,0,18,0,8,0,0,0,0,1,1,6,1,46,8,-1,-1,-1,-1,-1,-1
201734WD11117,2,9,0,3,0,8,0,0,0,0,1,1,6,2,17,4,1199,1,14,-1,-1,-1
201734WD11117,3,9,0,3,0,8,0,0,0,0,0,1,6,1,29,6,2993,2,2,7,3,7
201734WD80027,1,21,0,18,0,0,0,0,0,0,0,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1
201734WD80037,1,9,0,16,0,0,0,0,0,0,1,1,6,1,40,7,-1,-1,-1,7,1,7
201734WD80037,2,21,1,17,0,0,0,0,0,0,1,2,1,1,29,6,-1,-1,-1,-1,-1,-1
201734WD80047,1,3,0,18,0,8,1,0,0,0,1,1,2,1,24,5,-1,-1,-1,1,1,1
201734WD80047,2,9,0,9,0,8,0,0,0,0,2,1,2,1,63,9,1998,1,3,10,3,10
201734WD80047,3,9,0,18,0,8,0,0,0,0,1,1,1,1,25,5,1296,1,10,9,1,9
201734WD80057,1,9,0,18,0,8,0,0,0,0,1,1,6,1,54,8,1956,2,3,9,1,9
201734WD80077,1,9,0,18,0,0,0,0,0,0,3,1,6,1,44,7,1597,1,14,8,3,8
201734WD80097,1,19,0,18,0,0,0,0,0,0,0,1,6,1,54,8,2198,2,1,7,3,7
201734WD80137,1,9,0,16,0,0,0,0,0,0,1,1,6,1,25,5,1389,1,21,-1,-1,-1
201734WD80137,2,9,0,17,0,0,0,0,0,0,1,1,6,2,51,8,-1,-1,-1,-1,-1,-1
201734WD80137,3,19,0,16,0,0,0,0,0,0,1,1,6,1,19,4,-1,-1,-1,3,3,3
201734WD80187,1,5,0,18,0,0,0,0,7,6,1,1,6,1,45,7,599,1,16,1,1,1
201734WD80237,1,5,0,18,0,0,0,0,0,0,1,1,6,1,39,7,749,1,-1,10,1,10
201734WD80237,2,9,0,18,0,0,0,0,0,0,1,1,6,2,40,7,2199,2,1,-1,-1,-1
201734WD80247,1,5,0,16,0,0,0,0,7,0,1,1,6,1,36,7,1195,1,4,9,1,9
201734WD80247,2,19,0,17,0,0,0,0,0,0,1,1,6,2,52,8,-1,-1,-1,1,1,1
201734WD80267,1,21,1,18,0,8,0,0,0,0,2,1,6,1,58,9,12740,2,2,-1,-1,-1
201734WD80267,2,5,0,18,0,8,0,0,0,0,1,1,2,1,44,7,929,1,16,10,2,10
201734WD80267,3,9,0,18,0,8,0,0,0,0,1,1,6,2,21,5,1598,1,6,7,1,7
201734WD80327,1,9,0,18,0,8,1,0,0,0,1,1,6,2,40,7,1798,8,-1,6,3,6
201734WD80327,2,5,0,18,0,8,0,0,0,0,1,1,6,1,26,6,599,1,20,4,1,4
201734WD80337,1,5,0,16,0,0,0,0,8,9,4,1,6,1,70,10,-1,-1,-1,7,1,7
201734WD80347,1,9,0,13,0,0,0,0,0,0,1,1,1,1,27,6,2996,1,10,-1,-1,-1
201734WD80347,2,9,0,18,0,0,0,0,0,0,1,1,1,1,26,6,1499,2,2,-1,-1,-1
201734WD80347,3,9,0,18,0,0,0,0,0,0,0,1,1,1,57,9,-1,-1,-1,7,3,7
201734WD80347,4,19,0,18,0,0,0,0,0,0,2,1,1,1,37,7,-1,-1,-1,8,1,8
201734WD80367,1,9,0,13,0,0,0,0,0,0,1,1,6,1,48,8,2000,2,11,6,1,6
201734WD80367,2,9,0,17,0,0,0,0,0,0,2,1,6,1,60,9,998,1,9,9,3,9
201734WD80367,3,9,0,13,0,0,0,0,0,0,3,1,6,1,28,6,1197,1,1,9,1,9
201734WD80367,4,9,0,18,0,0,0,0,0,0,1,1,1,1,33,6,1896,2,14,9,3,9
201734WD80367,5,21,0,18,0,0,0,0,0,0,0,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
201734WN00017,1,19,0,18,0,8,0,0,0,0,1,1,1,1,57,9,1598,2,6,3,1,3
201734WN00037,1,9,0,18,0,8,0,0,0,0,4,1,2,1,59,9,1348,1,15,2,1,2
201734WN00047,1,9,0,18,0,8,0,0,0,0,4,1,3,1,33,6,2000,2,6,6,1,6
201734WN00067,1,9,0,9,0,8,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
201734WN00067,2,11,0,9,0,8,0,0,0,0,0,1,1,1,54,8,8268,2,11,4,1,4
201734WN00077,1,9,0,18,0,8,0,0,0,0,4,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
201734WN00137,1,9,0,18,0,8,0,0,0,0,4,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
201734WN00137,2,1,0,18,0,8,0,0,0,0,3,1,6,2,55,8,-1,-1,-1,3,1,3
201734WN00147,1,11,0,14,0,0,0,0,0,0,1,1,1,1,78,11,6700,2,17,9,2,9
201734WN00147,2,19,0,2,0,0,0,0,0,0,2,1,2,1,39,7,1753,2,14,7,2,7
